,,,,,,,,,,
"County","Total Pop","Under 18","65 & Over","Pediatric Asthma","Adult Asthma","COPD","Lung Cancer","CV Disease","Diabetes","Poverty Estimate"
"Beaverhead",9434,1668,2030,143,705,500,4,621,625,1238
"Big Horn",13360,4577,1654,392,803,518,6,602,642,3535
"Blaine",6708,2030,1015,174,426,287,3,344,359,1727
"Broadwater",5936,1184,1379,101,423,337,3,428,433,574
"Carbon",10696,1920,2657,164,782,630,5,807,810,999
"Carter",1222,244,306,20,87,70,0,90,89,155
"Cascade",81654,18343,14861,1572,5767,3947,42,4797,4921,9411
"Chouteau",5765,1338,1144,114,399,291,3,361,368,825
"Custer",11721,2542,2253,217,830,595,6,730,751,1465
"Daniels",1737,373,450,31,121,98,0,128,126,173
"Dawson",8950,1996,1679,171,629,447,4,546,562,907
"Deer Lodge",9106,1339,2087,114,697,528,4,660,673,1342
"Fallon",3009,814,508,69,198,140,1,170,176,270
"Fergus",11291,2380,2664,204,799,620,5,792,789,1396
"Flathead",100000,22100,18805,1895,7037,5065,52,6195,6399,10824
"Gallatin",107810,21733,13075,1863,8000,4523,56,5011,5415,10195
"Garfield",1293,302,294,25,89,67,0,86,85,212
"Glacier",13640,4256,1621,364,859,541,7,618,667,3487
"Golden Valley",822,163,221,13,58,48,0,63,62,151
"Granite",3358,527,979,45,250,213,1,280,276,405
"Hill",16463,4595,2399,394,1085,706,8,832,873,2511
"Jefferson",11891,2417,2463,207,845,658,6,818,847,983
"Judith Basin",1961,377,500,32,140,116,1,150,151,249
"Lake",30273,7250,6425,621,2073,1559,15,1964,1977,5612
"Lewis and Clark",67773,14599,12239,1251,4816,3389,35,4105,4265,5474
"Liberty",2427,520,487,44,172,126,1,156,159,429
"Lincoln",19440,3540,5401,303,1409,1193,10,1564,1542,3001
"Madison",8175,1288,2372,110,612,512,4,673,659,805
"McCone",1718,359,430,30,121,97,0,126,125,248
"Meagher",1851,341,544,29,134,113,0,150,145,285
"Mineral",4255,782,1205,67,307,261,2,344,337,612
"Missoula",117441,22463,17656,1926,8760,5358,61,6194,6527,16351
"Musselshell",4639,885,1169,75,333,274,2,353,354,787
"Park",16353,2992,3591,256,1199,910,8,1138,1160,2087
"Petroleum",523,96,126,8,37,30,0,39,39,74
"Phillips",4119,985,886,84,280,218,2,275,279,585
"Pondera",5960,1421,1204,121,409,302,3,377,383,1020
"Powder River",1752,294,446,25,129,105,0,135,135,209
"Powell",6795,998,1360,85,523,374,3,455,472,973
"Prairie",1109,204,340,17,80,68,0,92,88,130
"Ravalli",42563,8262,10661,708,3062,2457,22,3164,3150,5275
"Richland",11039,2823,1580,242,748,496,5,580,619,957
"Roosevelt",11098,3747,1188,321,675,413,5,466,507,2838
"Rosebud",9248,2688,1391,230,595,408,4,486,511,1577
"Sanders",11711,2065,3480,177,854,736,6,977,951,2363
"Sheridan",3469,721,753,61,247,186,1,234,237,372
"Silver Bow",34602,7026,6420,602,2505,1735,18,2106,2172,5487
"Stillwater",9419,2049,2075,175,657,519,4,655,668,798
"Sweet Grass",3691,767,929,65,261,208,1,270,267,362
"Teton",6085,1473,1360,126,414,318,3,406,405,796
"Toole",4886,959,858,82,356,245,2,294,308,660
"Treasure",679,129,191,11,48,40,0,53,52,79
"Valley",7433,1657,1716,142,518,401,3,512,511,864
"Wheatland",2140,515,528,44,145,116,1,152,149,383
"Wibaux",1020,228,239,19,70,56,0,72,72,107
"Yellowstone",158980,37545,26229,3219,11065,7452,83,8905,9288,15983
"TOTAL:",1050493,228889,190523,19600,74643,51620,521,62601,64612,130617
