,SOUTHWESTERN,SOUTH CENTRAL,SOUTHEASTERN,WESTERN,NORTH CENTRAL,NORTHEASTERN,CENTRAL
1980-01-01,17.59623250644412,13.294051229958004,17.168585007671535,20.677652433083406,17.203955479327018,18.724482005875878,14.612701351082768
1980-01-02,18.484239544909762,13.916410601989288,17.37421529348276,20.957563881062796,17.057526125363307,18.3100494407372,15.214831234611426
1980-01-03,18.58531919559437,13.994414894827866,18.00731607933885,21.516158355969115,16.964865356278978,18.538375129366145,15.048290776899025
1980-01-04,19.317568027624922,13.124042667651393,16.700390900494092,21.75279531055994,15.827998965522866,18.009322071417827,14.513024004244732
1980-01-05,20.77243608585658,14.870395728490687,17.311331239116463,24.254507352299285,19.05488502130617,20.053091413977974,18.132201546878086
1980-01-06,20.609032062889977,17.04793733975559,18.662789399929192,23.34264290541457,19.572919840402342,20.722554849183368,19.343904899498003
1980-01-07,20.256309096636254,17.130921348082975,18.37126835072716,22.847869959696226,19.832759056605532,18.953668641339842,19.808311475121744
1980-01-08,20.99123380180791,18.128420134718546,17.84774640149475,23.958162148910368,19.94294850456821,17.54469414346321,20.74285231525712
1980-01-09,22.497969090138426,19.11066799959588,17.85291834038771,25.272876275748,20.18935666415413,17.22078713084137,21.413525579512264
1980-01-10,23.440519059244803,21.035798040356585,18.636301257520216,25.221141164168372,20.97299901508289,17.772332894527217,22.38471267691147
1980-01-11,21.938716184060322,19.312404303566808,18.505928976645336,24.883555598870107,20.486648169479853,16.8913833987591,20.773713409344264
1980-01-12,22.72924120147821,18.955956664607772,19.103732073051923,26.32739152046432,21.113939387863567,17.624912362702286,20.33865931875407
1980-01-13,21.967999385333695,17.7579071418838,18.2672175326563,26.562183366840387,20.117295230789065,17.854141554044205,18.86292907545004
1980-01-14,21.793387134039374,17.642154830625962,17.523514091807492,26.280724589935176,19.8913797129904,17.68400293514166,18.159717777686183
1980-01-15,20.770408699420805,16.319939189763062,16.757318606587383,24.87116088605472,19.100151298107384,17.664745774920092,16.771449213993588
1980-01-16,20.028513451022604,15.712168548314226,15.940501820795612,23.372489895483238,18.336016747291513,17.356739853293092,15.808785269058376
1980-01-17,20.898299491322266,15.940943925627728,15.123274450170099,23.466157606073843,17.744744164369163,17.439549114386583,15.366675969015935
1980-01-18,21.65998561041445,18.369845199223008,16.284085063950837,22.255716653021437,17.64774526040838,17.774204995356094,16.73573114084201
1980-01-19,20.601748069111704,18.226339177086718,16.838088297161967,20.517721397172092,16.98058118131754,17.093398063929385,17.026499838725993
1980-01-20,18.581447496653357,16.535855156891092,16.75820979143393,19.179293921967407,16.581608514337145,16.932972374813648,15.845638304539149
1980-01-21,18.45972143158645,15.786711710964664,16.8075309072225,19.52971495661935,15.874572656584276,16.859850627057135,15.247591705524778
1980-01-22,18.43261659731517,15.536399545677789,17.022309456692135,19.773517534010896,15.218310988381644,16.779293031066114,14.470503650596545
1980-01-23,18.943959918819807,15.281728527538707,17.172530983104554,20.48325569024789,15.471116215671758,17.41356284747248,14.814399337424494
1980-01-24,19.69559226792239,15.28810433446653,16.227878479299616,20.64612278823745,16.186576286708156,17.441647081730057,15.50811722482914
1980-01-25,20.46563998099796,15.646256296591986,15.212408098995285,19.908496423636514,16.134098203780695,16.107848831013847,15.795299926725626
1980-01-26,19.386442628233265,15.369160225919487,14.840237088402002,18.267688723545547,15.212688794223302,14.712093215663593,15.371572133809106
1980-01-27,19.235194357700998,15.57694322855757,15.406797717062702,18.46360223959201,15.37104520765264,14.3190710952329,15.934686711064984
1980-01-28,18.941494942495527,15.877793782242902,15.888850189521868,18.640577280726227,15.31056315139354,13.887068787592748,16.19427408978643
1980-01-29,18.406748805303106,15.502058571280461,16.461218213916187,18.223848028068513,15.358318688318748,13.970060539964239,16.54422139214497
1980-01-30,17.559037038126178,14.96665305975032,17.294506756356224,17.650986240342966,15.513040096134146,14.349652600380738,15.616482780076703
1980-01-31,16.759061824169358,13.8927879026831,16.621604844281713,17.29955771643155,14.93838189482356,14.545189801396857,14.6305861779645
1980-02-01,16.942518272450194,14.040991445735314,17.267748462905413,18.70962056167905,16.300378011548926,16.69208303675241,15.045267897257993
1980-02-02,17.843304790053942,14.788406534166432,18.169393858391878,20.235738640551066,17.347873003930385,18.262587093683,15.865485513660984
1980-02-03,18.182458637457565,14.599964692445006,17.88234135591536,21.64651091685183,17.87902342484572,19.10965798159145,15.827792573373404
1980-02-04,18.03436114126828,14.539724636323552,17.60609284903848,21.134029808002865,17.22149892190559,19.40107508762666,15.061418225842221
1980-02-05,17.907623943402566,13.953282995479539,17.420391114607426,20.385173318994802,16.88528682524877,19.597348651149517,14.823113198884482
1980-02-06,18.689403338778515,14.542426228451777,16.92501519658566,21.85866389731576,17.934028560506185,19.693707725903387,16.243688001660075
1980-02-07,19.146247749594934,16.691258073715613,17.770308364694618,21.591013015111074,18.701721867724125,20.133761706858284,17.665839373877805
1980-02-08,18.869787619280306,16.462154321704126,18.391995260952946,21.188800648843475,19.024500519414282,20.586816526644746,17.894597119510305
1980-02-09,17.39699585895895,14.789762377357993,18.320748592731448,20.149472628012653,18.332972243877148,20.60685974417223,16.556000653873006
1980-02-10,16.138926524982814,14.360274124981887,17.983830752319342,19.353233325117973,17.389628189650566,19.96766580286032,15.489981918692438
1980-02-11,16.086822585635527,13.94475450357594,18.125212037363767,20.614183406787625,17.285119657863337,19.799534077041187,15.526181688903039
1980-02-12,16.536476836913597,14.443122139071994,17.828172635815736,21.74700543279611,18.231251939433527,20.01776176332274,17.028569589339625
1980-02-13,18.872544151997648,18.101413081299494,19.1926520365634,22.206459366054762,18.5625105605496,19.934494120503427,19.450721521714662
1980-02-14,19.40282791963957,19.35433589096329,19.416025670321254,20.94623835467404,18.29625753157422,19.503053647597227,19.601144410326512
1980-02-15,19.998132740235075,19.943250384656533,19.37728531195083,20.283403036788343,18.061672705197626,18.686293930105027,19.625148457605764
1980-02-16,19.46078544428222,19.559818020337207,19.485851442498607,19.93373101374056,17.557924594889794,17.658734114040538,19.517928217755607
1980-02-17,19.44320790594438,18.59369872072592,19.669570595532686,20.105382641140636,18.422777369971374,17.810504695417947,19.066443804041587
1980-02-18,19.527506636744594,17.78560061938131,19.56683088864301,21.70629126947545,19.188661567297267,18.360674470508567,18.98326886294661
1980-02-19,19.487263255130614,17.569259462003135,19.469609659371752,22.236578888966363,19.816099674499704,19.449481590016124,18.964756956323125
1980-02-20,20.507910419418966,17.67014241689338,19.39956352407748,22.470167125103647,20.265140208080247,19.958554270342496,19.298536862680464
1980-02-21,20.079077238356906,18.6918567314598,19.81800227183734,21.121294472799107,20.42267400335513,20.455656810175004,19.188605346148677
1980-02-22,19.836600049190448,19.340034882477127,19.783121624424414,20.15101743225153,20.159261081382436,20.572957516290376,19.21429311381815
1980-02-23,19.137747662711266,18.89815323482447,19.475274713436555,19.064572014347203,19.72087184317214,20.666603184121076,18.824594571800436
1980-02-24,17.743142497307133,17.023991411161205,17.741988392800874,17.812166138331058,18.533042065149488,19.998613290121806,16.899979976563166
1980-02-25,16.508424932509296,15.328110631553473,16.323046068491507,16.883947221327983,18.19178885734597,19.769925857226426,15.79167065258562
1980-02-26,16.202721181177736,14.531881450962436,15.391630433402574,17.213396142674096,17.988909895910087,19.486195051833374,15.484179318665396
1980-02-27,15.751834622657569,13.66498150894221,14.542199158307373,18.035677424677022,18.00773272017464,19.30831307187533,14.917887408813225
