,CountyId,mean_F,killer_heat_diff,Income,Poverty,ChildPoverty,Construction,Production,Unemployment,Professional,Name
0,30065,52.0,36.0,51.0,40.0,37.0,41.0,49.0,39.0,54.0,Musselshell
1,30015,42.0,33.0,49.0,49.0,46.0,8.0,31.0,26.0,15.0,Chouteau
2,30059,19.0,1.0,45.0,33.0,32.0,37.0,44.0,26.0,28.0,Meagher
3,30087,55.0,45.0,12.0,45.0,44.0,47.0,41.0,51.0,42.0,Rosebud
4,30097,24.0,18.0,20.0,18.0,25.0,54.0,47.0,3.0,45.0,Sweet Grass
5,30073,25.0,18.0,37.0,44.0,47.0,21.0,39.0,41.0,30.0,Pondera
6,30033,47.0,45.0,25.0,2.0,1.0,33.0,5.0,1.0,3.0,Garfield
7,30011,49.0,41.0,33.0,22.0,30.0,39.0,7.0,21.0,4.0,Carter
8,30051,36.0,29.0,30.0,29.0,29.0,52.0,4.0,13.0,44.0,Liberty
9,30027,31.0,32.0,27.0,32.0,36.0,6.0,21.0,17.0,21.0,Fergus
10,30007,22.0,18.0,10.0,8.0,5.0,42.0,42.0,32.0,23.0,Broadwater
11,30003,43.0,36.0,24.0,53.0,52.0,19.0,9.0,55.0,38.0,Big Horn
12,30089,9.0,18.0,54.0,51.0,51.0,30.0,54.0,48.0,51.0,Sanders
13,30053,2.0,1.0,53.0,37.0,35.0,35.0,37.0,53.0,52.0,Lincoln
14,30039,4.0,1.0,22.0,12.0,28.0,10.0,51.0,46.0,33.0,Granite
15,30017,51.0,55.0,14.0,10.0,13.0,13.0,26.0,9.0,41.0,Custer
16,30083,30.0,55.0,1.0,4.0,4.0,50.0,53.0,17.0,53.0,Richland
17,30109,32.0,45.0,26.0,20.0,10.0,29.0,32.0,8.0,10.0,Wibaux
18,30107,37.0,1.0,52.0,47.0,50.0,56.0,20.0,24.0,46.0,Wheatland
19,30081,7.0,18.0,36.0,35.0,39.0,24.0,34.0,45.0,30.0,Ravalli
20,30105,41.0,40.0,11.0,6.0,7.0,19.0,28.0,34.0,17.0,Valley
21,30069,53.0,45.0,31.0,15.0,26.0,49.0,1.0,38.0,1.0,Petroleum
22,30071,45.0,41.0,44.0,41.0,33.0,45.0,33.0,52.0,43.0,Phillips
23,30091,21.0,44.0,15.0,23.0,20.0,23.0,14.0,19.0,24.0,Sheridan
24,30019,26.0,36.0,13.0,1.0,1.0,15.0,2.0,9.0,5.0,Daniels
25,30079,46.0,51.0,19.0,15.0,21.0,43.0,8.0,16.0,7.0,Prairie
26,30057,18.0,1.0,23.0,19.0,21.0,38.0,14.0,24.0,41.0,Madison
27,30001,15.0,1.0,39.0,36.0,11.0,25.0,30.0,36.0,34.0,Beaverhead
28,30101,34.0,29.0,29.0,38.0,34.0,27.0,21.0,4.0,48.0,Toole
29,30005,39.0,33.0,55.0,55.0,56.0,40.0,21.0,56.0,20.0,Blaine
30,30045,20.0,1.0,41.0,29.0,17.0,46.0,11.0,21.0,8.0,Judith Basin
31,30077,11.0,1.0,38.0,31.0,41.0,30.0,24.0,7.0,11.0,Powell
32,30067,10.0,1.0,35.0,27.0,19.0,27.0,26.0,20.0,32.0,Park
33,30085,29.0,51.0,50.0,54.0,55.0,15.0,46.0,54.0,51.0,Roosevelt
34,30025,44.0,45.0,9.0,3.0,12.0,53.0,56.0,9.0,56.0,Fallon
35,30055,40.0,51.0,32.0,7.0,3.0,34.0,6.0,6.0,2.0,McCone
36,30095,33.0,18.0,3.0,5.0,8.0,43.0,55.0,29.0,47.0,Stillwater
37,30099,23.0,18.0,18.0,10.0,14.0,36.0,35.0,9.0,19.0,Teton
38,30021,35.0,51.0,5.0,24.0,38.0,30.0,51.0,5.0,38.0,Dawson
39,30075,48.0,41.0,17.0,9.0,6.0,50.0,19.0,15.0,13.0,Powder River
40,30035,16.0,1.0,56.0,56.0,53.0,17.0,14.0,48.0,22.0,Glacier
41,30047,8.0,18.0,42.0,50.0,48.0,21.0,36.0,50.0,32.0,Lake
42,30041,38.0,33.0,34.0,51.0,45.0,7.0,45.0,44.0,25.0,Hill
43,30103,54.0,45.0,43.0,39.0,43.0,55.0,3.0,1.0,27.0,Treasure
44,30061,3.0,18.0,48.0,48.0,54.0,10.0,47.0,47.0,55.0,Mineral
45,30037,50.0,29.0,40.0,42.0,49.0,48.0,38.0,34.0,18.0,Golden Valley
46,30111,56.0,36.0,7.0,15.0,18.0,12.0,40.0,26.0,36.0,Yellowstone
47,30009,27.0,18.0,8.0,12.0,15.0,26.0,14.0,30.0,16.0,Carbon
48,30031,12.0,1.0,6.0,25.0,9.0,5.0,18.0,33.0,12.0,Gallatin
49,30013,28.0,18.0,28.0,26.0,27.0,4.0,24.0,36.0,27.0,Cascade
50,30049,14.0,1.0,4.0,21.0,23.0,1.0,10.0,23.0,6.0,Lewis and Clark
51,30043,17.0,1.0,2.0,12.0,16.0,14.0,13.0,40.0,9.0,Jefferson
52,30029,1.0,1.0,16.0,28.0,31.0,8.0,28.0,30.0,36.0,Flathead
53,30063,5.0,1.0,21.0,34.0,24.0,2.0,12.0,43.0,14.0,Missoula
54,30023,6.0,1.0,46.0,43.0,40.0,18.0,42.0,14.0,49.0,Deer Lodge
55,30093,13.0,1.0,47.0,46.0,42.0,3.0,49.0,42.0,41.0,Silver Bow
