"State","County","   Days per year with a heat index above 100°F   ",,,,,
,,," Midcentury ",," Late century ",,
,," Historical "," Slow action "," No action "," Slow action "," No action "," Rapid action "
"AL","Autauga County",15,55,72,65,107,55
"AL","Baldwin County",13,59,79,72,117,60
"AL","Barbour County",14,54,72,64,108,55
"AL","Bibb County",17,57,75,68,107,58
"AL","Blount County",9,44,60,53,94,45
"AL","Bullock County",15,55,73,65,108,56
"AL","Butler County",19,62,81,74,117,63
"AL","Calhoun County",10,46,62,54,96,46
"AL","Chambers County",10,45,62,54,98,46
"AL","Cherokee County",10,45,61,53,94,45
"AL","Chilton County",14,52,69,62,104,53
"AL","Choctaw County",22,66,85,78,118,67
"AL","Clarke County",20,64,83,76,119,65
"AL","Clay County",6,36,53,45,89,37
"AL","Cleburne County",6,36,51,44,87,36
"AL","Coffee County",16,57,76,69,113,59
"AL","Colbert County",12,52,66,60,98,52
"AL","Conecuh County",18,61,80,74,117,62
"AL","Coosa County",12,49,67,59,101,50
"AL","Covington County",18,62,82,75,117,64
"AL","Crenshaw County",17,60,79,72,115,61
"AL","Cullman County",7,42,58,50,92,42
"AL","Dale County",15,56,75,67,112,57
"AL","Dallas County",19,61,79,72,113,62
"AL","DeKalb County",5,35,50,43,84,35
"AL","Elmore County",14,53,70,63,105,54
"AL","Escambia County",18,62,82,75,119,63
"AL","Etowah County",9,44,60,52,94,44
"AL","Fayette County",15,54,70,63,102,54
"AL","Franklin County",11,48,62,56,95,48
"AL","Geneva County",14,54,73,66,111,55
"AL","Greene County",21,65,82,75,113,65
"AL","Hale County",22,65,82,76,114,65
"AL","Henry County",16,57,76,68,112,58
"AL","Houston County",17,61,79,72,115,62
"AL","Jackson County",6,38,53,46,87,39
"AL","Jefferson County",14,53,69,62,102,53
"AL","Lamar County",17,57,72,66,104,57
"AL","Lauderdale County",10,49,63,57,95,49
"AL","Lawrence County",10,48,64,57,96,49
"AL","Lee County",9,42,59,51,95,43
"AL","Limestone County",8,44,59,52,92,44
"AL","Lowndes County",18,59,78,71,112,60
"AL","Macon County",15,54,71,64,106,55
"AL","Madison County",6,40,55,48,89,40
"AL","Marengo County",21,64,82,75,115,65
"AL","Marion County",12,50,64,58,97,50
"AL","Marshall County",7,41,57,49,91,42
"AL","Mobile County",14,57,77,70,116,58
"AL","Monroe County",19,61,81,74,117,62
"AL","Montgomery County",18,60,78,71,112,61
"AL","Morgan County",8,44,59,52,93,44
"AL","Perry County",17,57,75,68,108,58
"AL","Pickens County",21,64,79,73,110,64
"AL","Pike County",16,58,77,69,113,59
"AL","Randolph County",7,37,53,45,89,37
"AL","Russell County",15,53,70,63,105,54
"AL","Shelby County",14,53,70,63,104,54
"AL","St. Clair County",11,47,64,56,97,48
"AL","Sumter County",22,67,84,77,116,67
"AL","Talladega County",15,55,72,65,105,56
"AL","Tallapoosa County",12,49,67,59,101,50
"AL","Tuscaloosa County",18,59,75,69,107,59
"AL","Walker County",13,51,67,60,100,52
"AL","Washington County",21,66,85,78,121,67
"AL","Wilcox County",20,62,80,73,115,62
"AL","Winston County",8,44,59,52,93,44
"AR","Arkansas County",21,65,78,73,108,65
"AR","Ashley County",27,75,88,84,119,76
"AR","Baxter County",11,47,59,53,88,47
"AR","Benton County",9,45,58,52,87,45
"AR","Boone County",7,40,53,47,82,40
"AR","Bradley County",26,73,86,81,116,74
"AR","Calhoun County",27,73,86,80,116,73
"AR","Carroll County",7,40,54,47,83,41
"AR","Chicot County",29,77,89,85,118,77
"AR","Clark County",27,71,84,77,113,71
"AR","Clay County",17,58,69,64,96,58
"AR","Cleburne County",13,50,62,56,91,50
"AR","Cleveland County",24,69,82,77,112,69
"AR","Columbia County",31,80,92,87,121,80
"AR","Conway County",25,66,78,72,106,66
"AR","Craighead County",18,61,72,67,100,61
"AR","Crawford County",17,55,68,61,97,56
"AR","Crittenden County",19,64,75,72,104,64
"AR","Cross County",19,63,74,70,103,63
"AR","Dallas County",25,69,82,76,111,69
"AR","Desha County",24,70,83,78,112,70
