"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-01","34","41","29"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-02","29","38","20"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-03","18","21","15"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-04","27","32","22"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-05","31","42","25"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-06","41","44","35"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-07","42","48","37"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-08","37","45","29"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-09","42","50","30"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-10","39","51","25"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-11","19","24","12"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-12","30","47","16"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-13","44","47","41"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-14","40","42","36"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-15","32","38","30"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-16","27","31","20"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-17","15","20","11"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-18","25","34","13"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-19","27","35","20"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-20","31","36","23"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-21","38","44","32"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-22","38","44","32"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-23","28","36","21"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-24","23","26","20"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-25","35","41","26"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-26","29","41","14"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-27","20","27","11"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-28","30","34","26"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-29","23","35","2"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-30","14","40","2"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-01-31","-1","7","-6"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-02-01","8","26","-7"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-02-02","27","32","22"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-02-03","36","44","27"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-02-04","40","45","27"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-02-05","27","34","17"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-02-06","37","47","23"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-02-07","23","30","20"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-02-08","23","30","16"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-02-09","28","40","15"
"USR0000MWOL","WOLF MOUNTAIN MONTANA, MT US","1990-02-10","41","45","35"
