"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00243885","HAMILTON, MT US","1950-01-01",,,"0.07","0.0","0.0","39","21","21"
"USC00243885","HAMILTON, MT US","1950-01-02",,,"0.06","1.8","2.0","23","7","7"
"USC00243885","HAMILTON, MT US","1950-01-03",,,"0.00","0.0","2.0","9","-13","2"
"USC00243885","HAMILTON, MT US","1950-01-04",,,"0.04","0.8","3.0","9","-2","4"
"USC00243885","HAMILTON, MT US","1950-01-05",,,"0.01","0.5","2.0","22","-10","22"
"USC00243885","HAMILTON, MT US","1950-01-06",,,"0.08","1.0","2.0","32","20","31"
"USC00243885","HAMILTON, MT US","1950-01-07",,,"0.00","0.0","1.0","37","28","36"
"USC00243885","HAMILTON, MT US","1950-01-08",,,"0.00","0.0","1.0","36","22","31"
"USC00243885","HAMILTON, MT US","1950-01-09",,,"0.00","0.0","1.0","36","13","24"
"USC00243885","HAMILTON, MT US","1950-01-10",,,"0.00","0.0","1.0","37","19","34"
"USC00243885","HAMILTON, MT US","1950-01-11",,,"0.01","0.5","2.0","34","22","25"
"USC00243885","HAMILTON, MT US","1950-01-12",,,"0.00","0.0","2.0","27","15","23"
"USC00243885","HAMILTON, MT US","1950-01-13",,,"0.00","0.0","2.0","23","13","23"
"USC00243885","HAMILTON, MT US","1950-01-14",,,"0.06","1.1","3.0","31","-4","-2"
"USC00243885","HAMILTON, MT US","1950-01-15",,,"0.04","0.4","3.0","18","-4","8"
"USC00243885","HAMILTON, MT US","1950-01-16",,,"0.11","1.0","4.0","11","5","10"
"USC00243885","HAMILTON, MT US","1950-01-17",,,"0.03","1.0","5.0","10","-1","3"
"USC00243885","HAMILTON, MT US","1950-01-18",,,"0.13","3.0","8.0","5","-4","-4"
"USC00243885","HAMILTON, MT US","1950-01-19",,,"0.20","2.0","10.0","17","-4","15"
"USC00243885","HAMILTON, MT US","1950-01-20",,,"0.22","0.0","5.0","53","14","49"
"USC00243885","HAMILTON, MT US","1950-01-21",,,"0.16","0.0","2.0","50","16","36"
"USC00243885","HAMILTON, MT US","1950-01-22",,,"0.55","0.0","0.0","49","33","34"
"USC00243885","HAMILTON, MT US","1950-01-23",,,"0.09","1.0","1.0","35","27","27"
"USC00243885","HAMILTON, MT US","1950-01-24",,,"0.00","0.0","1.0","29","16","17"
"USC00243885","HAMILTON, MT US","1950-01-25",,,"0.00","0.0","1.0","19","5","10"
"USC00243885","HAMILTON, MT US","1950-01-26",,,"0.02","0.5","2.0","24","2","22"
"USC00243885","HAMILTON, MT US","1950-01-27",,,"0.24","5.0","7.0","26","22","23"
"USC00243885","HAMILTON, MT US","1950-01-28",,,"0.11","2.5","9.0","24","-5","5"
"USC00243885","HAMILTON, MT US","1950-01-29",,,"0.00","0.0","9.0","8","-20","-2"
"USC00243885","HAMILTON, MT US","1950-01-30",,,"0.00","0.0","8.0","3","-17","-1"
"USC00243885","HAMILTON, MT US","1950-01-31",,,"0.00","0.0",,"3","-25","-3"
"USC00243885","HAMILTON, MT US","1950-02-01",,,"0.00","0.0","6.0","7","-2","1"
"USC00243885","HAMILTON, MT US","1950-02-02",,,"0.00","0.0","6.0","7","-21","4"
"USC00243885","HAMILTON, MT US","1950-02-03",,,"0.00","0.0","6.0","11","-21","5"
"USC00243885","HAMILTON, MT US","1950-02-04",,,"0.23","4.0","10.0","24","-2","21"
"USC00243885","HAMILTON, MT US","1950-02-05",,,"0.02","0.0","7.0","38","14","32"
"USC00243885","HAMILTON, MT US","1950-02-06",,,"0.04","0.0","4.0","45","24","35"
"USC00243885","HAMILTON, MT US","1950-02-07",,,"0.00","0.0","3.0","42","24","36"
"USC00243885","HAMILTON, MT US","1950-02-08",,,"0.00","0.0","3.0","40","22","35"
"USC00243885","HAMILTON, MT US","1950-02-09",,,"0.00","0.0","3.0","39","25","37"
"USC00243885","HAMILTON, MT US","1950-02-10",,,"0.00","0.0","2.0","39","14","26"
"USC00243885","HAMILTON, MT US","1950-02-11",,,"0.00","0.0","1.0","40","19","29"
"USC00243885","HAMILTON, MT US","1950-02-12",,,"0.00","0.0","1.0","39","17","34"
"USC00243885","HAMILTON, MT US","1950-02-13",,,"0.00","0.0","1.0","44","24","42"
"USC00243885","HAMILTON, MT US","1950-02-14",,,"0.00","0.0","0.0","44","29","40"
"USC00243885","HAMILTON, MT US","1950-02-15",,,"0.00","0.0","0.0","51","27","48"
"USC00243885","HAMILTON, MT US","1950-02-16",,,"0.00","0.0","0.0","49","29","40"
"USC00243885","HAMILTON, MT US","1950-02-17",,,"0.00","0.0","0.0","46","29","44"
"USC00243885","HAMILTON, MT US","1950-02-18",,,"0.00","0.0","0.0","45","20","38"
"USC00243885","HAMILTON, MT US","1950-02-19",,,"0.00","0.0","0.0","43","24","41"
"USC00243885","HAMILTON, MT US","1950-02-20",,,"0.01","0.0","0.0","41","28","35"
"USC00243885","HAMILTON, MT US","1950-02-21",,,"0.00","0.0","0.0","40","26","38"
